,state,beta1,beta2,gamma,days
0,AL,0.8180294078828555,0.6662704749665304,0.6535327758910556,25.572499663684887
1,AK,0.74360715802311,0.48317762790382374,0.6076938560041772,29.241216095008088
2,AZ,0.8875426958277879,0.7679919200404991,0.7300441937259291,19.03522213326384
3,AR,0.7641090516154706,0.6864253132618099,0.6632382617220178,23.687848729085687
4,CA,0.9169022220666774,0.736388675013043,0.7072043527399615,22.314026213392097
5,CO,0.8549499541927906,0.6305763568969042,0.6365820292181149,27.09227561248665
6,CT,0.8992495253758612,0.6004762738234236,0.6237773517041183,27.682341470777274
7,DE,0.8462189816182049,0.63828342486044,0.6396873850596821,26.90859541676837
8,DC,0.7289383795185564,0.6322135566126501,0.6334306971590823,25.237570781266577
9,FL,0.9085504130965246,0.644142658563447,0.643116606144899,27.10308230224311
10,GA,0.8826027673290581,0.6521173001881008,0.6497029238793479,26.83424733435597
11,HI,0.7577111922378394,0.5337330148160698,0.5977358574375704,24.837831038848247
12,ID,0.7108109632808055,1.7372772224267483,1.4528762242828177,28.980668674256712
13,IL,0.9420376737156262,0.7348498937233638,0.7065144557250603,23.305854712036712
14,IN,0.8926565150292375,0.6455707441393308,0.6451446241822943,27.14310211084778
15,IA,0.8297724593064276,0.668896221432187,0.6526401600610604,25.696647138401655
16,KS,0.8466878429025819,0.6547059024875926,0.6480064487436535,26.450232085249446
17,KY,0.8493054042708804,0.6598363745825802,0.6512073807345213,26.16243497626733
18,LA,1.0207793931913922,0.6685568826335231,0.6856660219578273,17.04609685110357
19,ME,0.801398643914768,0.6297669753462265,0.6374661863735988,25.95711981867637
20,MD,0.8739215530608285,0.6723200836271408,0.6600528493767546,26.313914262259555
21,MA,0.9275529005066785,0.696604343345223,0.675669350996704,24.89600877466108
22,MI,9.218272537482926,41.870944478538775,41.747513027141174,-2249.073954442476
23,MN,0.8772262656624298,0.6972137531415207,0.6694854175489185,25.272123120617028
24,MS,0.866829562999018,0.6450201749237335,0.6422277149813668,26.52579981795269
25,MO,0.8581091813737953,0.6189832814552267,0.6306368558138242,27.138902698307373
26,MT,0.8718874853994598,-8.131132637162878,271439.8417123754,0.3080797391913208
27,NE,0.8567700587001915,0.682541093648021,0.660525232675645,25.461825803896577
28,NV,0.8447856040243906,0.6398186083009366,0.6418220279744173,26.796305706896327
29,NH,0.8146282736369878,0.6587910757299786,0.6495379342041239,25.903698485311267
30,NJ,0.9245148216485523,0.6068402524209315,0.6292541863030584,27.980504143291583
31,NM,0.7988466675765856,0.6573913994433732,0.6476840322425023,25.762345962554246
32,NY,0.9798940435614149,0.5897802594512809,0.6240079143639904,28.002632072017818
33,NC,0.8888097657050861,0.6936226583249517,0.6688951310248541,25.257553131866754
34,ND,0.7987882749684061,0.6564787606068443,0.6472806927626752,25.6676346514325
35,OH,0.8581164473010611,0.6397933973692991,0.6429666139216392,26.889358446493965
36,OK,0.836577975807913,0.6428741289311835,0.6438904683881489,26.672919366536792
37,OR,0.821573836963424,0.6552697709091455,0.6515158918759735,26.167459425869136
38,PA,0.8983008987432641,0.6261685025728404,0.6383351443219681,27.626043262857873
39,RI,0.8638703644900478,0.6612214476952527,0.6529542684677948,26.488377998482108
40,SC,0.8360326803396432,0.6662090072547604,0.6537444136014313,25.755582299750273
41,SD,0.7413968829154987,0.6462791116217041,0.6388895581205584,24.38786197843689
42,TN,0.8753988005838576,0.6515609277125208,0.6439996825604718,26.382913587566016
43,TX,0.8799037793046905,0.6738586862814745,0.6597645372424173,26.225145619060577
44,UT,0.8552487403716061,0.6679664271648272,0.6562208770410931,26.000719327234034
45,VT,0.7702143314529725,0.5236097315025148,0.5715218373556149,21.59187596405028
46,VA,0.874952645696672,0.6713684606285114,0.6553799893549769,26.16793833404094
47,WA,0.8801901657251024,0.6976504387366863,0.6827075277160355,24.39538553011141
48,WV,0.7850836452617568,0.5508565318690423,0.6136440434670635,29.40043048553977
49,WI,0.8287984192230226,0.6574508420096888,0.6478551758016906,26.05504867957419
50,WY,0.755029111090499,0.5709434989659854,0.5731110014626105,17.608829031140647
51,PR,0.7448977549662251,0.5916363881744136,0.5742237487087225,14.378404549771526
